,DP,EI,EPI,Economy,FE,FSI,GDP,GDPpc,GG,HFBD,HR,LandArea,PS,Pop,PopDensity,PopGrowthRate,RI,SA,SDGI,SL,country
73,7.3,6.1,42.94,5.2,8.3,82.4,38.75592581,5734.522274,6.6,7.7,7.9,230800.0,7.0,6.758353,29.28229203,1.406426845,5.1,5.5,61.4,9.1,Laos
74,2.9,3.9,66.12,3.5,4.3,46.4,46.49657079,23717.60945,8.0,4.8,2.8,62180.0,2.9,1.960424,31.52820843,-0.868629779,2.8,3.0,75.2,3.4,Latvia
75,5.6,9.1,61.08,6.4,9.3,88.2,79.69578445,13267.8857,8.5,5.0,7.4,10230.0,5.7,6.006668,587.1620723,2.617573568,9.3,8.7,64.9,7.6,Lebanon
76,8.5,7.8,33.78,8.1,7.3,81.7,6.03043638,2736.354895,3.9,8.0,5.0,30360.0,8.1,2.203821,72.58962451,1.332723919,4.8,6.2,53.0,5.9,Lesotho
77,9.0,9.3,41.62,8.1,8.3,93.8,3.476780367,753.557379,5.8,7.2,6.5,96320.0,9.3,4.613823,47.9009863,2.50636265,8.7,6.4,42.8,6.8,Liberia
78,2.8,4.0,69.33,4.5,3.0,41.7,80.14887985,27904.09625,4.4,4.4,2.5,62650.0,3.5,2.872298,45.84673583,-1.129000251,2.3,3.1,73.6,2.7,Lithuania
79,1.6,1.1,79.12,1.2,3.4,23.4,55.24532687,94764.97477,3.1,2.1,1.0,2590.0,2.1,0.582972,225.0857143,2.319777521,3.5,1.7,75.0,1.0,Luxembourg
80,3.3,6.0,61.06,5.8,7.3,66.1,27.16968015,13054.77697,6.9,5.2,3.8,25220.0,3.9,2.081206,82.522046,0.091238733,7.3,5.6,69.4,5.8,Macedonia
81,9.1,6.8,33.73,7.6,7.8,84.0,34.76946297,1396.669615,4.1,6.7,5.6,581800.0,9.1,24.894551,42.78884668,2.688870712,3.9,7.1,43.5,7.1,Madagascar
82,9.7,8.2,49.21,8.4,8.1,88.0,19.60767469,1083.801421,5.6,7.9,6.2,94280.0,8.6,18.091575,191.8919707,2.904818605,5.8,4.8,48.0,6.4,Malawi
83,5.3,3.8,59.22,3.1,6.8,65.4,800.542,25668.87478,6.5,5.0,8.0,328550.0,4.2,31.187265,94.92395374,1.499323358,3.7,6.3,69.7,7.7,Malaysia
84,8.5,9.4,43.71,7.7,4.9,92.9,35.46934392,1971.08448,7.4,8.5,7.3,1220190.0,8.8,17.994837,14.74756964,2.971968633,7.9,9.0,48.5,6.1,Mali
85,2.5,3.3,80.9,4.0,2.0,38.6,15.61795686,35743.36671,3.9,3.7,3.0,320.0,2.0,0.436947,1365.459375,1.167802724,4.4,3.6,77.0,3.6,Malta
86,8.7,8.0,39.24,7.7,8.8,93.7,15.36444295,3572.28055,7.0,6.9,7.9,1030700.0,9.0,4.301018,4.172909673,2.798060125,8.0,6.9,51.1,8.0,Mauritania
87,3.6,4.7,56.63,4.0,3.2,41.7,24.72299486,19567.48966,3.6,4.4,3.4,2030.0,3.3,1.263473,622.4004926,0.068723138,2.7,2.3,62.1,3.0,Mauritius
88,6.1,5.5,59.69,4.9,5.4,74.3,2146.82,16832.4673,7.2,5.8,6.5,1943950.0,6.8,127.540423,65.60890095,1.301730941,5.1,8.4,69.1,6.5,Mexico
89,4.8,7.4,51.97,6.4,8.3,72.0,17.56228027,4944.335661,7.3,6.6,4.9,32870.0,4.9,3.552,123.5587139,-0.059329244,3.9,6.1,74.2,6.6,Moldova
90,5.1,7.1,57.51,5.0,5.5,56.7,34.39428811,11361.00642,3.8,3.3,4.5,1553560.0,5.4,3.027398,1.948684312,1.682874029,3.0,3.6,64.2,4.0,Mongolia
91,2.8,6.5,61.33,5.2,6.5,55.7,9.793141792,15724.8564,7.9,4.0,4.1,13450.0,3.1,0.622781,46.30342007,0.099924503,4.6,4.0,67.3,4.6,Montenegro
92,4.8,6.0,63.47,4.8,6.6,74.9,260.949,7397.187488,7.7,8.2,6.8,446300.0,5.2,35.276786,79.04276496,1.351228522,6.1,5.8,66.7,6.7,Morocco
93,9.9,8.0,46.37,8.0,6.6,89.0,32.52770083,1128.279294,5.4,8.0,5.6,786380.0,9.7,28.829476,36.6609985,2.881207724,5.8,6.7,49.2,6.5,Mozambique
94,6.8,7.3,45.32,5.9,8.3,95.7,280.559,5305.054684,9.7,6.4,8.9,653080.0,8.5,52.885223,80.9781696,0.914735351,8.7,8.9,59.5,8.6,Myanmar
95,7.6,6.4,58.46,6.8,3.5,70.4,24.43021954,9852.035111,5.8,7.1,3.8,823290.0,7.4,2.479713,3.01195569,2.207998983,5.0,5.5,59.3,3.3,Namibia
96,8.6,6.9,31.44,7.5,8.8,91.0,66.59233737,2297.652539,9.4,6.5,7.7,143350.0,7.2,28.982771,202.1818696,1.132886385,7.8,6.5,61.6,7.4,Nepal
97,2.5,1.2,75.46,2.7,3.1,27.4,805.017,47302.72068,4.5,2.6,1.0,33690.0,1.0,17.018408,505.1471653,0.4622438,3.8,1.5,79.9,1.3,Netherlands
98,2.1,1.2,75.96,3.6,1.4,22.6,165.518,35271.37895,3.6,2.1,1.0,263310.0,1.4,4.6927,17.82195891,2.088702607,1.8,1.2,77.6,0.9,New Zealand
99,5.3,7.3,55.04,5.7,7.1,77.4,31.59120583,5136.841574,6.5,8.1,5.2,120340.0,6.7,6.149928,51.10460362,1.110103051,4.0,5.6,63.1,7.9,Nicaragua
100,9.0,8.1,35.74,7.5,8.9,97.4,18.90476514,914.4670358,8.0,7.5,6.5,1266700.0,9.5,20.672987,16.32034973,3.826066467,7.9,8.7,44.8,7.3,Niger
101,9.1,6.5,54.76,8.0,9.6,101.6,1010.8,5434.71131,9.2,7.2,8.9,910770.0,9.2,185.98964,204.2114255,2.619033526,7.5,9.2,48.6,8.6,Nigeria
102,1.5,1.3,77.49,2.2,1.1,20.5,335.844,64178.97128,3.6,1.6,1.1,365245.0,1.0,5.232929,14.32717491,0.850589917,2.8,2.0,83.9,0.8,Norway
103,4.8,2.3,51.32,4.1,6.6,52.5,3.756071553,848.8753864,2.9,2.5,7.7,309500.0,3.5,4.424762,14.29648465,5.217720553,2.5,4.2,64.3,6.8,Oman
104,8.4,9.4,37.5,6.9,8.9,98.9,937.932,4854.633154,10.0,7.2,8.0,770880.0,7.7,193.203476,250.6271741,1.998562594,8.7,9.1,55.6,8.1,Pakistan
105,4.9,2.7,62.71,2.6,2.2,50.7,86.06768552,21334.93968,5.6,4.6,4.3,74340.0,4.8,4.034119,54.26579231,1.621103031,3.0,5.4,63.9,3.2,Panama
106,5.7,4.8,53.93,5.0,7.8,71.6,59.66275979,8871.37954,5.8,5.8,5.9,397300.0,6.2,6.725308,16.92753083,1.289844973,3.1,6.6,66.1,7.0,Paraguay
107,5.0,3.5,61.92,3.2,6.9,70.3,383.561,12071.59764,7.4,7.3,4.3,1280000.0,6.7,31.773839,24.82331172,1.257862325,4.3,7.1,66.0,7.2,Peru
108,7.5,6.4,57.65,5.5,8.0,84.4,747.673,7236.463352,7.9,6.5,6.6,298170.0,6.7,103.320222,346.5144783,1.564497131,6.9,9.7,64.3,7.0,Philippines
109,3.0,2.9,64.11,3.6,4.2,40.8,988.583,26050.97985,5.4,4.5,3.2,306190.0,2.3,37.948016,123.9361704,-0.101129367,3.6,1.8,75.8,3.3,Poland
110,2.1,2.8,71.91,5.3,2.5,29.0,279.847,27104.84686,2.5,2.2,1.8,91605.0,2.2,10.324611,112.7079417,-0.323604271,2.2,1.3,75.6,1.6,Portugal
111,3.8,2.7,67.8,2.1,5.0,44.0,303.769,118207.0695,4.6,2.6,6.3,11610.0,1.3,2.569804,221.3440138,3.495069918,2.0,2.6,63.1,6.3,Qatar
112,3.2,3.6,64.78,4.7,5.4,50.9,425.792,21607.99269,6.8,4.5,3.7,230080.0,3.8,19.705301,85.64543202,-0.557581505,2.8,3.0,74.1,5.2,Romania
113,4.6,5.7,63.79,5.2,8.1,79.2,3581.3,24811.14419,8.8,4.0,9.2,16376870.0,4.2,144.342396,8.813796287,0.170244546,5.8,8.9,68.9,8.5,Russia
114,8.0,7.5,43.68,6.0,8.0,90.8,21.13868558,1773.750484,9.4,7.4,7.2,24670.0,7.4,11.917508,483.0769355,2.445904867,8.3,6.2,55.0,7.1,Rwanda
115,5.3,4.7,57.47,4.5,8.2,71.2,1628.57,50458.10489,7.8,3.8,9.1,2149690.0,3.8,32.275687,15.01411227,2.251422474,4.7,6.3,62.7,8.0,Saudi Arabia
116,8.1,6.7,49.52,7.4,6.6,82.3,36.67118441,2379.451264,6.4,8.0,6.0,192530.0,7.5,15.411614,80.04785748,2.860609064,7.3,6.2,56.2,4.7,Senegal
117,4.3,6.2,57.49,6.4,8.0,70.0,96.84578427,13722.56349,7.3,5.3,4.4,87460.0,4.2,7.057412,80.69302538,-0.536587877,8.4,5.5,73.6,5.2,Serbia
118,9.0,7.9,42.54,8.6,7.8,89.3,10.12412009,1368.829098,6.2,8.5,5.3,72180.0,8.8,7.39619,102.4686894,2.175479241,7.7,4.3,47.1,6.9,Sierra Leone
119,2.5,1.2,64.23,2.0,4.0,32.5,456.676,81443.36571,2.6,3.3,4.6,709.0,1.3,5.607283,7908.720733,1.297436099,1.7,1.6,69.0,3.9,Singapore
120,2.3,2.3,67.57,3.8,1.7,32.4,61.80678355,29932.89256,4.5,3.1,1.5,20140.0,1.5,2.064845,102.524578,0.063656995,4.0,1.6,80.5,2.7,Slovenia
121,7.2,3.0,44.73,7.1,6.1,72.3,685.452,12260.16661,6.7,5.5,4.2,1213090.0,7.0,55.908865,46.08797781,1.617203497,5.4,6.1,61.2,6.5,South Africa
122,3.1,5.6,62.3,2.0,4.3,38.1,1792.87,34985.75988,2.9,3.9,2.9,97480.0,1.9,51.245707,525.7048318,0.451318044,2.0,2.1,75.5,4.4,South Korea
123,2.0,1.8,78.39,5.2,6.3,37.9,1548.87,33349.22417,5.7,1.9,1.8,500210.0,2.2,46.443959,92.84892145,-0.008048086,1.9,2.8,76.8,2.8,Spain
124,6.2,6.3,60.61,5.4,8.8,86.6,242.08,11417.25228,9.0,7.7,8.3,62710.0,5.1,21.203,338.1119439,1.124060307,8.4,7.4,65.9,6.9,Sri Lanka
125,9.3,9.7,51.49,8.5,9.7,110.6,173.607,4386.360304,10.0,8.9,9.6,2376000.0,8.9,39.578828,22.68897306,2.380439887,9.8,9.0,49.9,9.8,Sudan
126,5.3,5.9,54.2,7.1,5.8,65.9,7.749023291,13877.98601,5.8,6.8,4.6,156000.0,5.6,0.558368,3.579282051,0.928418221,3.0,4.9,70.4,5.0,Suriname
127,9.4,7.1,40.32,9.7,6.8,88.8,10.37360686,7723.64106,3.4,7.2,9.1,17200.0,8.1,1.343098,78.08709302,1.809667249,4.7,6.3,55.0,8.8,Swaziland
128,2.0,1.1,80.51,1.8,1.8,22.1,462.1,46662.05263,1.5,1.5,1.1,407310.0,1.1,9.903122,24.31347622,1.055073996,5.3,2.1,85.6,1.0,Sweden
129,1.5,1.0,87.42,2.3,1.0,21.1,480.81,57430.04919,3.6,2.1,1.8,39516.0,1.0,8.372098,211.866029,1.077221168,2.5,1.1,81.2,1.0,Switzerland
130,7.9,5.9,47.85,7.3,8.4,81.8,24.13104856,2762.585453,7.4,6.2,8.2,138786.0,5.6,8.734951,62.93827187,2.155884123,4.3,6.7,66.8,9.1,Tajikistan
131,8.7,7.2,50.83,6.2,5.7,80.3,139.38,2508.088532,5.2,7.6,5.9,885800.0,8.6,55.572201,62.73673628,3.092454074,6.7,5.5,52.1,5.9,Tanzania
132,6.4,3.8,49.88,3.3,9.4,76.2,1079.99,15683.05097,8.5,4.7,8.0,510890.0,4.4,68.863514,134.7912741,0.299465512,5.9,9.0,69.5,7.5,Thailand
133,9.7,9.5,49.54,7.9,8.3,90.5,2.51788156,1984.660767,6.5,7.6,5.3,14870.0,8.5,1.268671,85.31748487,2.207092325,6.3,7.2,61.5,6.9,Timor-Leste
134,7.8,6.0,41.78,6.4,7.6,83.9,10.51284365,1382.109747,4.6,7.5,6.7,54390.0,8.2,7.606374,139.848759,2.523861304,6.6,6.5,50.2,7.8,Togo
135,4.5,3.1,67.36,4.4,5.6,56.7,41.58323861,30464.75917,4.2,8.1,4.1,5130.0,4.3,1.364962,266.0744639,0.35742449,2.7,6.3,69.1,4.5,Trinidad and Tobago
136,4.2,6.4,62.35,6.7,7.8,74.2,122.608,10752.02434,7.7,6.1,6.5,155360.0,4.4,11.403248,73.39886715,1.142910708,4.7,8.3,68.7,6.5,Tunisia
137,4.9,5.4,52.96,4.6,9.1,80.8,1888.94,23756.53838,10.0,3.9,7.7,769630.0,4.4,79.512426,103.3125346,1.5730117,9.2,8.3,68.5,7.6,Turkey
138,5.4,4.1,66.1,4.9,7.8,74.4,88.60960132,15648.37312,6.6,5.1,8.7,469930.0,5.6,5.662544,12.0497606,1.732524453,3.5,6.3,56.7,9.7,Turkmenistan
139,9.0,8.3,44.28,5.5,8.6,96.0,69.99362951,1687.082736,8.5,7.6,7.8,200520.0,8.3,41.487965,206.9018801,3.290872381,9.3,7.1,52.9,8.6,Uganda
140,4.2,8.6,52.87,6.8,8.0,74.0,327.215,7270.693947,6.7,5.2,6.2,579290.0,3.7,45.004645,77.68931796,-0.33138051,4.6,7.6,72.7,8.2,Ukraine
141,4.0,2.4,58.9,2.4,3.6,43.7,622.297,67133.01484,3.4,2.5,7.8,83600.0,2.2,9.269612,110.8805263,1.251759052,2.2,3.1,66.0,6.7,United Arab Emirates
142,2.4,1.0,79.89,3.6,4.5,33.2,2574.94,39229.86462,6.4,2.1,1.7,241930.0,1.6,65.637239,271.3067375,0.777541827,2.1,2.7,78.3,1.5,United Kingdom
143,3.8,2.7,64.65,3.6,2.7,36.8,69.04173629,20046.92683,2.5,4.4,2.8,175020.0,2.9,3.444006,19.6777854,0.362269175,2.5,3.8,71.0,1.0,Uruguay
144,5.6,4.6,45.88,6.3,8.8,81.5,192.327,6038.865619,7.1,6.0,9.2,425400.0,4.9,31.8482,74.86647861,1.739791235,5.5,7.1,71.2,9.5,Uzbekistan
145,5.6,5.4,63.89,7.3,8.2,82.9,443.8400821,14059.73028,7.2,5.5,8.9,882050.0,7.7,31.568179,35.78955728,1.31705725,4.6,7.3,65.8,8.5,Venezuela
146,9.5,7.2,50.97,7.9,6.2,87.8,60.50817421,3646.962323,5.9,7.9,7.4,743390.0,7.9,16.59139,22.31855419,3.002815515,6.4,4.6,51.1,7.7,Zambia
147,9.1,7.5,43.41,8.6,9.8,101.6,30.35667456,1879.62812,7.3,7.9,8.2,386850.0,8.9,16.150362,41.74838309,2.33606955,8.5,8.1,56.1,9.2,Zimbabwe
